CO_HEI;HEI;Ownership;STUDENTS;ST_RESEARCH_GRANT;ST_COMPLETING;PUB_SC;PATENTS_UM;ST_DROPOUT;FACULTY;AGE;PHD;MA;PRES;GRAD;RESEARCH;FTE;FTNE;PART;HOUR;TEC;TEC_SUP;TEC_SPEC;TEC_MA;TEC_PHD;PORTAL_CAPES;VIRT_JOURNAL;VIRT_BOOK;VL_RECEITA_PROPRIA;VL_RECEITA_TRANSFERENCIA;VL_RECEITA_OUTRA;VL_RECEITA_TOTAL;VL_DESPESA_PESSOAL_DOCENTE;VL_DESPESA_PESSOAL_TECNICO;VL_DESPESA_PESSOAL_ENCARGO;VL_DESPESA_CUSTEIO;VL_DESPESA_INVESTIMENTO;VL_DESPESA_PESQUISA;VL_DESPESA_OUTRA;VL_DESPESA_TOTAL
0;FGV;Private;3898;213;630;1;0;217;521;48,8;456;57;444;284;299;131;171;146;70;331;132;95;38;11;7;897;9574;289762498,1;6543018,21;26741779,5;323047295,7;94825549,88;27429792,77;66817107,48;39308735,2;3318025,82;37230677,23;64081513,14;333011401,5
6;UFOP;Public;13330;266;1462;478;16;1365;970;43,4;719;215;839;394;382;694;165;8;0;750;162;221;165;27;1;5;9155;5137227,39;480029394,7;5793706,66;490960328,7;179174305;71774691,32;39850386,04;55064396,08;1061751,7;733199,99;143301589,6;490960319,7
7;UFSCAR;Public;14116;0;1690;1876;0;1267;1467;45,5;1322;101;1343;889;1340;1239;141;73;0;1017;226;324;191;81;1;0;714;4701589,94;13004126,19;680818510;698524226,1;195335071;130223380,6;94492272,81;63340506,76;11326086,61;424078,1;136708737,8;631850133,7
8;UFV;Public;15165;349;1935;1607;17;1531;1321;44,9;1075;179;1215;47;1016;1093;164;17;0;2202;322;839;288;74;1;128585;11159;7097929,31;949067784,5;1522767,28;957688481,1;362543596,9;0;118832921,8;140171062,3;32283186,48;1031012,33;5253594,9;660115374,7
17;UFU;Public;22363;274;2800;1148;27;1576;2043;44,7;1653;274;1865;757;1639;1650;275;29;0;1858;329;641;294;80;1;0;842;6713192,41;774753060,9;9250445,09;790716698,4;308585723,6;119916348,5;200936262;138147277,3;23131086,99;0;0;790716698,4
22;MACKENZIE SP;Private;33354;326;5401;6;0;1998;1169;52;745;402;1167;167;828;0;553;275;341;1820;467;255;62;11;1;51784;15909;808682955,2;0;47079852,32;855762807,6;222639306,8;194158508,1;107529455,2;0;248274059,7;47079702,2;216800064,3;1036481096
30;UNIFENAS;Private;9582;151;1336;41;0;587;371;45,1;156;181;371;40;67;0;201;147;23;419;81;58;24;5;1;31;8011;217963522;1018365,73;59886390,87;278868278,6;44356126,13;46876850,78;60048093,44;62842533,89;6627332,2;268222,09;46096699,42;267115858
54;Unicamp;Public;19672;2274;2880;5234;51;1243;1973;51,4;1922;23;1831;1964;1764;1769;9;150;0;3818;1648;588;223;124;1;51147;714758;0;1217083903;1530373,42;1218614276;691066411;299059768;135532299;86656817,49;366852,99;5932128;0;1218614276
55;USP;Public;63416;111;8785;15282;49;4600;6088;52,6;6008;77;5562;3474;5653;4974;585;471;0;9726;2839;1244;696;656;1;315;377423;267545833,8;5090366036;18057965,26;5375969836;1234616254;1455179507;1506251633;1089051591;38251675,33;0;26485730,55;5349836392
56;UNESP;Public;41093;2396;7162;5583;41;2668;3245;51,3;3207;26;3011;2039;3167;3089;1;134;0;5586;2165;1079;254;165;1;32;227574;226670171;2635005436;13540626;2875216233;1392230229;647180938;350775410;279071855;22517657;175341628;8098516;2875216233
107;UFSJ;Public;13104;670;1815;576;14;1484;899;43,6;719;120;830;332;686;773;97;8;0;540;104;249;97;6;1;10000;10000;905814,21;0;359137608,8;360043423;157373256,5;55283702,03;41170874,56;95198271,69;11017318,19;0;0;360043423
126;INATEL;Private;1508;215;261;140;0;137;73;45,8;26;37;70;0;10;0;37;20;16;697;383;112;48;3;1;1000000;0;115971759,7;0;22410424,5;138382184,2;10898219,31;9177447,84;8197506,54;28619589,21;8810821,42;1733277,14;64427950,6;131864812,1
135;CEUCLAR;Private;1560;0;338;0;0;168;157;43,7;52;83;85;1;1;0;57;82;17;443;223;74;9;2;0;3223;9603;124577537,2;3829573,64;8220769,8;136627880,7;16681083,15;21383433,51;17235937,54;529826,86;1399017,01;0;64940414,72;122169712,8
137;USC;Private;5674;73;1126;0;0;451;240;41,9;148;82;234;62;167;1;85;88;65;183;57;18;3;3;1;0;0;73681784,87;120310,46;5306359,84;79108455,17;21429956,47;8839745,27;3415549,96;33123017,79;2784745,71;39518,61;4886148,78;74518682,59
149;FAMERP;Public;683;63;89;100;0;13;269;59,5;153;70;263;57;50;9;111;143;0;221;110;8;2;7;1;38000;0;1634350,29;24185249,52;1457535,57;27277135,38;17587956;39838098,17;16462701,78;6179644,86;0;0;0;80068400,81
171;FDSM;Private;1350;20;216;0;0;112;38;48,6;13;22;37;10;15;2;11;15;10;96;29;10;0;0;1;35;7783;21786484,41;0;986654,03;22773138,44;8467123,6;4233561,8;4606468,31;3354504,3;0;164621,82;1402006,22;22228286,05
194;EEFTESM;Private;119;0;20;0;0;9;19;47,2;10;5;19;0;7;0;1;14;4;188;60;11;1;0;0;14230;7251;87211244,98;0;1508231,09;88719476,07;31495414;5500607,52;14017677,22;6920119,13;1774389,52;0;20316760,02;80024967,41
195;MACKENZIE RJ;Private;2464;6;294;0;0;157;65;52,5;20;41;62;3;15;6;4;28;26;61;15;10;0;0;1;51784;15909;10769208,57;0;292573,41;11061781,98;5179725,69;3272598,49;2367046,85;0;416893,57;0;5616556,05;16852820,65
208;UNAERP;Private;9725;83;1517;84;0;1025;471;46,6;225;209;457;39;91;0;194;236;41;714;222;44;19;4;1;0;35922;115674009;5307456;55167134;176148599;41053114;26025267;21113575;52585969;6510155;1520936;16015027;164824043
