CO_HEI;HEI;Ownership;STUDENTS;ST_RESEARCH_GRANT;ST_COMPLETING;PUB_SC;PATENTS_UM;ST_DROPOUT;FACULTY;AGE;PHD;MA;PRES;GRAD;RESEARCH;FTE;FTNE;PART;HOUR;TEC;TEC_SUP;TEC_SPEC;TEC_MA;TEC_PHD;PORTAL_CAPES;VIRT_JOURNAL;VIRT_BOOK;VL_RECEITA_PROPRIA;VL_RECEITA_TRANSFERENCIA;VL_RECEITA_OUTRA;VL_RECEITA_TOTAL;VL_DESPESA_PESSOAL_DOCENTE;VL_DESPESA_PESSOAL_TECNICO;VL_DESPESA_PESSOAL_ENCARGO;VL_DESPESA_CUSTEIO;VL_DESPESA_INVESTIMENTO;VL_DESPESA_PESQUISA;VL_DESPESA_OUTRA;VL_DESPESA_TOTAL
6;UFOP;Public;13330;266;1462;478;16;1365;970;43,4;719;215;839;394;382;694;165;8;0;750;162;221;165;27;1;5;9155;5137227,39;480029394,7;5793706,66;490960328,7;179174305;71774691,32;39850386,04;55064396,08;1061751,7;733199,99;143301589,6;490960319,7
7;UFSCAR;Public;14116;0;1690;1876;0;1267;1467;45,5;1322;101;1343;889;1340;1239;141;73;0;1017;226;324;191;81;1;0;714;4701589,94;13004126,19;680818510;698524226,1;195335071;130223380,6;94492272,81;63340506,76;11326086,61;424078,1;136708737,8;631850133,7
8;UFV;Public;15165;349;1935;1607;17;1531;1321;44,9;1075;179;1215;47;1016;1093;164;17;0;2202;322;839;288;74;1;128585;11159;7097929,31;949067784,5;1522767,28;957688481,1;362543596,9;0;118832921,8;140171062,3;32283186,48;1031012,33;5253594,9;660115374,7
17;UFU;Public;22363;274;2800;1148;27;1576;2043;44,7;1653;274;1865;757;1639;1650;275;29;0;1858;329;641;294;80;1;0;842;6713192,41;774753060,9;9250445,09;790716698,4;308585723,6;119916348,5;200936262;138147277,3;23131086,99;0;0;790716698,4
54;Unicamp;Public;19672;2274;2880;5234;51;1243;1973;51,4;1922;23;1831;1964;1764;1769;9;150;0;3818;1648;588;223;124;1;51147;714758;0;1217083903;1530373,42;1218614276;691066411;299059768;135532299;86656817,49;366852,99;5932128;0;1218614276
55;USP;Public;63416;111;8785;15282;49;4600;6088;52,6;6008;77;5562;3474;5653;4974;585;471;0;9726;2839;1244;696;656;1;315;377423;267545833,8;5090366036;18057965,26;5375969836;1234616254;1455179507;1506251633;1089051591;38251675,33;0;26485730,55;5349836392
56;UNESP;Public;41093;2396;7162;5583;41;2668;3245;51,3;3207;26;3011;2039;3167;3089;1;134;0;5586;2165;1079;254;165;1;32;227574;226670171;2635005436;13540626;2875216233;1392230229;647180938;350775410;279071855;22517657;175341628;8098516;2875216233
107;UFSJ;Public;13104;670;1815;576;14;1484;899;43,6;719;120;830;332;686;773;97;8;0;540;104;249;97;6;1;10000;10000;905814,21;0;359137608,8;360043423;157373256,5;55283702,03;41170874,56;95198271,69;11017318,19;0;0;360043423
149;FAMERP;Public;683;63;89;100;0;13;269;59,5;153;70;263;57;50;9;111;143;0;221;110;8;2;7;1;38000;0;1634350,29;24185249,52;1457535,57;27277135,38;17587956;39838098,17;16462701,78;6179644,86;0;0;0;80068400,81
431;FAMEMA;Public;642;12;122;34;0;8;264;54,8;107;63;263;26;72;55;66;142;0;2207;611;125;16;1;1;0;0;8098917,29;35373840,76;0;43472758,05;24973474,91;5816866,74;3226297,02;8305010,18;1097442,2;0;0;43419091,05
